emp no,Attrition,CF_attrition label,CF_age band,Department,Job Role,Business Travel,Over Time,Training Times Last Year,Daily Rate,Distance From Home,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
STAFF-1471,No,Current Employees,35 - 44,R&D,Laboratory Technician,Non-Travel,No,5,981,5,3,90,2,1,3,3162,7973,3,14,3,4,80,0,7,3,5,2,0,3
STAFF-1947,No,Current Employees,25 - 34,R&D,Research Scientist,Non-Travel,No,3,1103,16,3,49,3,1,3,2144,2122,1,14,3,3,80,0,5,2,5,3,1,4
STAFF-1440,No,Current Employees,35 - 44,R&D,Laboratory Technician,Non-Travel,No,2,1413,5,3,84,4,1,3,3500,25470,0,14,3,1,80,0,7,1,6,5,1,3
STAFF-1976,No,Current Employees,35 - 44,R&D,Research Scientist,Non-Travel,No,2,335,23,4,37,2,2,3,4332,14811,1,12,3,4,80,0,20,3,20,9,3,7
STAFF-2022,No,Current Employees,35 - 44,R&D,Manager,Non-Travel,No,3,105,9,4,87,3,5,4,19431,15302,2,13,3,3,80,0,21,2,6,0,1,3
STAFF-2019,No,Current Employees,45 - 54,Sales,Sales Representative,Non-Travel,No,3,585,29,1,40,3,1,4,3482,19788,2,15,3,2,80,2,16,2,9,8,0,0
STAFF-1612,No,Current Employees,45 - 54,Sales,Sales Executive,Non-Travel,No,2,336,26,1,52,2,2,1,4385,24162,1,15,3,1,80,1,10,3,10,7,4,5
STAFF-1731,No,Current Employees,45 - 54,Sales,Sales Executive,Non-Travel,No,3,543,2,3,87,3,2,2,4978,3536,7,11,3,4,80,1,4,1,1,0,0,0
STAFF-1801,No,Current Employees,45 - 54,Sales,Sales Executive,Non-Travel,No,3,849,26,2,98,2,2,2,7991,25166,8,15,3,3,80,0,6,3,2,2,2,2
STAFF-1563,No,Current Employees,35 - 44,HR,Human Resources,Travel_Frequently,No,2,888,10,3,71,3,2,3,6077,14814,3,11,3,3,80,0,10,3,6,3,1,2
STAFF-1746,No,Current Employees,Under 25,HR,Human Resources,Travel_Frequently,No,2,897,10,1,59,3,1,4,2145,2097,0,14,3,4,80,1,3,3,2,2,2,1
STAFF-1590,No,Current Employees,25 - 34,R&D,Healthcare Representative,Travel_Frequently,No,0,995,2,1,87,3,2,4,8853,24483,1,19,3,4,80,1,6,4,6,4,1,3
STAFF-1615,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Frequently,No,3,426,10,3,42,4,2,4,4724,17000,1,13,3,1,80,1,9,3,9,7,7,2
STAFF-1485,No,Current Employees,25 - 34,R&D,Research Director,Travel_Frequently,No,3,829,15,2,71,3,4,1,17007,11929,7,14,3,4,80,2,16,2,14,8,6,9
STAFF-1431,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,No,2,560,1,4,91,3,1,1,2996,20284,5,14,3,3,80,2,10,3,4,3,1,3
STAFF-1653,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Frequently,No,6,772,2,4,77,4,2,3,5206,4973,1,17,3,3,80,2,7,3,7,7,0,7
STAFF-1941,No,Current Employees,45 - 54,R&D,Research Director,Travel_Frequently,No,3,1064,2,2,42,3,5,4,19161,13738,3,15,3,4,80,0,28,3,5,4,4,3
STAFF-1852,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Frequently,No,3,574,20,4,40,3,1,4,3812,7003,1,13,3,2,80,0,11,4,11,8,3,10
STAFF-1997,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Frequently,No,1,508,6,1,72,2,2,3,5321,14284,2,11,3,4,80,1,10,3,8,3,7,7
STAFF-1720,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,No,3,585,10,1,56,3,1,3,3433,17360,6,13,3,1,80,1,10,2,5,2,1,3
STAFF-1918,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Frequently,No,3,1096,6,3,61,4,1,4,2544,7102,0,18,3,1,80,1,8,3,7,7,7,7
STAFF-2061,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Frequently,No,3,884,23,3,41,4,2,4,2571,12290,4,17,3,3,80,1,17,3,5,2,0,3
STAFF-1597,No,Current Employees,25 - 34,R&D,Healthcare Representative,Travel_Frequently,No,3,653,10,4,92,2,2,3,5063,15332,1,14,3,2,80,1,8,2,8,2,7,7
STAFF-1668,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Frequently,No,4,1189,1,4,90,3,2,4,4735,9867,7,15,3,4,80,2,19,4,13,11,2,9
STAFF-1922,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Frequently,No,3,1297,1,2,44,3,2,3,5399,14511,4,12,3,3,80,0,12,3,4,2,0,3
STAFF-1412,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Frequently,No,2,200,18,3,60,3,3,4,9362,19944,2,11,3,3,80,0,10,3,2,2,2,2
STAFF-1648,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,No,0,591,2,4,87,3,1,4,2580,6297,2,13,3,3,80,0,6,2,4,2,1,2
STAFF-1812,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Frequently,No,6,766,20,3,83,3,2,4,4127,19188,2,18,3,4,80,1,7,3,2,1,2,2
STAFF-1700,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Frequently,No,2,1278,1,3,31,1,2,4,9525,7677,1,14,3,3,80,2,6,2,6,3,1,3
STAFF-2065,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Frequently,No,3,1023,2,4,63,2,2,2,5390,13243,2,14,3,4,80,0,17,2,9,6,0,8
STAFF-1477,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,No,2,430,7,4,54,3,2,1,4373,17456,0,14,3,1,80,2,5,3,4,3,0,3
STAFF-1507,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,No,5,467,7,3,55,3,2,1,4898,11827,0,14,3,4,80,0,5,3,4,2,1,3
STAFF-1613,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,No,3,715,2,4,54,3,2,1,5332,21602,7,13,3,4,80,0,10,3,5,2,0,3
STAFF-1853,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,No,2,1318,10,4,79,3,2,4,4648,26075,8,13,3,3,80,0,4,4,0,0,0,0
STAFF-1794,No,Current Employees,35 - 44,HR,Human Resources,Travel_Rarely,No,4,1239,8,3,89,3,2,2,4071,12832,2,13,3,3,80,0,19,2,10,0,4,7
STAFF-1865,No,Current Employees,25 - 34,HR,Human Resources,Travel_Rarely,No,3,352,6,4,87,2,1,2,2804,15434,1,11,3,4,80,0,1,3,1,0,0,0
STAFF-1419,No,Current Employees,25 - 34,HR,Human Resources,Travel_Rarely,No,3,332,17,2,51,2,3,1,7988,9769,1,13,3,1,80,0,10,2,10,9,0,9
STAFF-1778,No,Current Employees,35 - 44,HR,Human Resources,Travel_Rarely,No,5,244,2,2,97,3,1,4,3539,5033,0,13,3,2,80,0,10,3,9,7,1,8
STAFF-1694,No,Current Employees,Over 55,R&D,Research Scientist,Travel_Rarely,No,1,1441,22,1,94,2,1,2,3537,23737,5,12,3,4,80,1,8,3,4,2,1,2
STAFF-1506,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,2,1423,1,1,72,2,1,3,1563,12530,1,14,3,4,80,1,1,1,1,0,0,0
STAFF-1892,No,Current Employees,35 - 44,R&D,Manager,Travel_Rarely,No,3,1137,1,1,98,3,4,1,16823,18991,2,11,3,1,80,1,22,3,19,7,11,16
STAFF-1881,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,2,311,20,2,89,3,2,3,4197,18624,1,11,3,1,80,1,10,3,10,8,0,2
STAFF-1627,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,3,170,3,3,76,2,2,3,3069,10302,0,15,3,4,80,1,11,3,10,8,0,7
STAFF-1474,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,3,896,2,3,68,3,1,3,2345,8045,2,14,3,3,80,1,8,4,3,1,1,2
STAFF-1857,No,Current Employees,45 - 54,R&D,Manufacturing Director,Travel_Rarely,No,4,706,2,4,82,3,3,4,8578,19989,3,14,3,3,80,1,12,2,9,8,4,7
STAFF-1599,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,0,990,27,4,87,4,1,2,4876,5855,5,12,3,3,80,1,8,3,6,4,0,2
STAFF-1940,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,0,1206,9,2,71,3,1,4,4771,14293,2,19,3,4,80,2,10,4,5,2,0,3
STAFF-1424,No,Current Employees,Over 55,R&D,Research Director,Travel_Rarely,No,4,1136,1,2,81,4,4,4,14732,12414,2,13,3,4,80,2,31,4,7,7,0,0
STAFF-1484,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Rarely,No,3,1490,7,3,35,3,3,2,10466,20948,3,14,3,2,80,2,29,3,8,7,0,7
STAFF-1859,No,Current Employees,25 - 34,R&D,Healthcare Representative,Travel_Rarely,No,3,726,29,4,93,1,2,3,6384,21143,8,17,3,4,80,2,11,3,7,0,1,6
STAFF-1619,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,3,1302,19,4,67,2,1,1,4066,16290,1,11,3,1,80,2,7,3,7,7,0,7
STAFF-1671,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,4,977,2,4,45,3,2,2,5470,25518,0,13,3,3,80,2,10,2,9,5,1,6
STAFF-1553,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Rarely,No,4,538,1,1,66,3,3,2,7441,20933,1,12,3,1,80,3,10,3,10,8,7,7
STAFF-1725,No,Current Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,2,506,29,2,91,3,1,1,3907,3622,1,13,3,2,80,3,6,4,6,2,1,2
STAFF-1551,No,Current Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,3,350,21,3,57,2,1,1,2296,10036,0,14,3,2,80,3,2,3,1,1,0,0
STAFF-1871,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,2,835,19,4,41,3,2,4,3902,5141,8,14,3,2,80,3,7,3,2,2,2,2
STAFF-2031,No,Current Employees,35 - 44,R&D,Manager,Travel_Rarely,No,2,300,2,1,56,3,5,3,18880,17312,5,11,3,1,80,0,24,2,22,6,4,14
STAFF-1543,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,2,674,13,1,47,3,2,4,4285,3031,1,17,3,1,80,0,10,3,10,8,3,7
STAFF-1434,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,3,1377,11,2,91,3,1,1,2099,7679,0,14,3,2,80,0,6,4,5,0,1,4
STAFF-1621,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,2,819,18,2,48,4,2,1,5208,26312,1,11,3,4,80,0,16,3,16,15,1,10
STAFF-2068,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,3,628,8,2,82,4,2,3,4404,10228,2,12,3,1,80,0,6,4,4,3,1,2
STAFF-1689,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Rarely,No,2,1395,24,2,48,4,3,4,7005,3458,3,15,3,3,80,0,11,3,4,3,1,2
STAFF-1867,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,No,3,1224,10,4,91,2,5,2,19665,13583,4,12,3,4,80,0,29,3,22,10,12,9
STAFF-1989,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,6,911,1,4,76,3,1,2,3748,4077,1,13,3,3,80,0,12,2,12,8,1,7
STAFF-1954,No,Current Employees,25 - 34,R&D,Healthcare Representative,Travel_Rarely,No,5,136,1,1,89,3,2,1,5373,6225,0,12,3,1,80,1,6,2,5,3,0,2
STAFF-1473,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Rarely,No,0,1495,5,1,96,3,2,3,6651,21534,2,14,3,2,80,1,20,2,3,2,1,2
STAFF-1971,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,1,574,11,1,30,3,3,3,7510,16873,1,17,3,2,80,1,10,3,10,9,0,9
STAFF-1415,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,2,949,1,1,81,3,1,4,3229,4910,4,11,3,2,80,1,7,2,3,2,0,2
STAFF-1438,No,Current Employees,45 - 54,R&D,Research Scientist,Travel_Rarely,No,2,465,1,1,74,3,1,4,3420,10205,7,12,3,3,80,1,17,2,6,5,1,2
STAFF-1826,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,2,185,23,2,91,1,1,3,2705,9696,0,16,3,2,80,1,6,4,5,4,0,3
STAFF-1609,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,241,7,2,48,2,1,2,2141,5348,1,12,3,2,80,1,6,2,6,4,1,1
STAFF-1696,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,3,1157,5,2,57,2,2,4,3986,11912,1,14,3,3,80,1,15,4,15,10,4,13
STAFF-1931,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,1354,2,2,41,3,1,2,2226,6073,1,11,3,3,80,1,6,2,5,3,1,2
STAFF-1721,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,2,741,2,2,69,3,1,3,3477,18103,1,14,3,4,80,1,6,4,5,2,0,3
STAFF-1729,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,2,793,16,2,33,3,1,4,2862,3811,1,12,3,2,80,1,10,2,10,0,0,8
STAFF-1580,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,1351,1,2,45,3,2,4,5484,13008,9,17,3,2,80,1,9,2,2,2,2,1
STAFF-1903,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,5,170,1,2,78,4,2,1,5033,9364,2,15,3,4,80,1,10,3,2,0,2,2
STAFF-1542,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,3,1210,2,3,68,2,1,2,4841,24052,4,14,3,2,80,1,4,3,1,0,0,0
STAFF-1601,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,5,1349,7,3,63,2,1,4,2690,7713,1,18,3,4,80,1,1,2,1,0,0,1
STAFF-1911,No,Current Employees,35 - 44,R&D,Research Director,Travel_Rarely,No,3,1396,6,3,83,3,3,1,13348,14842,9,13,3,2,80,1,18,4,13,7,5,7
STAFF-1799,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,6,1181,1,3,82,3,1,4,2044,5531,1,11,3,3,80,1,5,4,5,3,0,3
STAFF-1763,No,Current Employees,25 - 34,R&D,Healthcare Representative,Travel_Rarely,No,3,305,16,3,58,4,2,3,5294,9128,3,16,3,3,80,1,10,3,7,0,1,7
STAFF-1707,No,Current Employees,Under 25,R&D,Research Scientist,Travel_Rarely,No,1,581,9,3,62,4,1,3,4401,17616,1,16,3,4,80,1,5,3,5,3,0,4
STAFF-2062,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,5,613,6,4,42,2,3,1,9991,21457,4,15,3,1,80,1,9,3,7,7,1,7
STAFF-1523,No,Current Employees,35 - 44,R&D,Research Director,Travel_Rarely,No,1,136,28,4,32,3,4,1,16328,22074,3,13,3,3,80,1,24,4,20,6,14,17
STAFF-1728,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,3,1370,27,4,49,3,2,3,6883,5151,2,16,3,2,80,1,17,3,7,7,0,7
STAFF-1798,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,1,867,8,4,90,4,1,1,3143,6076,6,19,3,2,80,1,14,3,10,8,7,6
STAFF-1592,No,Current Employees,Under 25,R&D,Research Scientist,Travel_Rarely,No,2,977,10,4,45,4,1,3,2073,12826,2,16,3,4,80,1,4,3,2,2,2,2
STAFF-1682,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,2,1351,26,1,80,3,2,3,5347,7419,6,14,3,2,80,2,10,2,3,2,0,2
STAFF-2012,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,3,543,1,1,83,3,1,4,2406,4060,8,19,3,3,80,2,8,2,1,0,0,0
STAFF-1803,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,2,1128,13,2,95,4,2,1,5538,5696,5,18,3,3,80,2,10,2,0,0,0,0
STAFF-1596,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,3,750,28,2,46,4,2,3,3407,25348,1,17,3,4,80,2,10,2,10,9,6,8
STAFF-1514,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,2,1083,29,3,96,1,2,2,6549,3173,1,14,3,2,80,2,8,2,8,6,1,7
STAFF-1558,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,2,598,9,3,91,4,1,3,2451,22376,6,18,3,1,80,2,5,2,1,0,0,0
STAFF-1618,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,3,1387,10,2,76,3,2,1,5377,3835,2,13,3,4,80,3,10,3,7,7,7,7
STAFF-1698,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,6,267,21,2,79,4,1,2,2028,13637,1,18,3,4,80,3,14,3,14,11,2,13
STAFF-1770,No,Current Employees,Over 55,R&D,Research Director,Travel_Rarely,No,2,478,2,3,60,2,5,1,19038,19805,8,12,3,2,80,3,34,3,1,0,0,0
STAFF-1631,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,2,671,19,3,85,3,2,3,5768,26493,3,17,3,1,80,3,9,2,4,3,0,2
STAFF-1718,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,3,390,17,4,62,1,1,3,2305,6217,1,15,3,3,80,3,3,4,3,2,0,2
STAFF-1435,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,2,172,4,1,37,2,2,4,5810,22604,1,16,3,3,80,0,10,2,10,4,1,8
STAFF-1659,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,4,311,7,1,77,3,1,2,2013,10950,2,11,3,3,80,0,15,3,4,3,1,3
STAFF-1533,No,Current Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,2,507,20,1,97,3,2,3,2272,24812,0,14,3,2,80,0,5,3,4,3,1,2
STAFF-1577,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,4,479,7,1,35,3,1,4,2972,22061,1,13,3,3,80,0,1,1,1,0,0,0
STAFF-2014,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,2,116,24,1,52,3,2,4,4108,5340,7,13,3,1,80,0,18,3,7,7,1,7
STAFF-1981,No,Current Employees,Under 25,R&D,Healthcare Representative,Travel_Rarely,No,2,771,1,2,45,2,2,3,4617,14120,1,12,3,2,80,0,4,2,4,3,1,2
STAFF-2008,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,5,1395,9,2,48,3,2,3,5098,18698,1,19,3,2,80,0,10,3,10,7,0,8
STAFF-1814,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,3,447,5,2,85,4,2,2,6870,15530,3,12,3,1,80,0,11,1,3,2,1,2
STAFF-2048,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,2,1322,2,3,52,2,1,3,2809,2725,2,14,3,4,80,0,8,3,2,2,2,2
STAFF-1952,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,6,157,1,3,95,3,1,1,2867,20006,0,13,3,4,80,0,8,2,7,7,7,6
STAFF-1727,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Rarely,No,3,717,13,3,34,3,2,2,5562,9697,6,14,3,4,80,0,19,3,10,7,0,9
STAFF-1677,No,Current Employees,45 - 54,R&D,Manager,Travel_Rarely,No,2,809,1,3,36,3,4,3,15379,22384,4,14,3,1,80,0,23,3,8,7,0,0
STAFF-1623,No,Current Employees,Under 25,R&D,Research Scientist,Travel_Rarely,No,2,546,5,3,97,3,1,4,3117,26009,1,18,3,3,80,0,3,3,2,2,2,2
STAFF-1417,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,2,652,7,3,100,4,1,1,3578,23577,0,12,3,4,80,0,8,3,7,7,0,7
STAFF-1564,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,3,992,1,4,68,2,1,1,2450,21731,1,19,3,2,80,0,3,3,3,0,1,2
STAFF-1545,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,2,575,25,4,44,2,2,2,4320,24152,1,13,3,4,80,0,5,3,5,3,0,2
STAFF-1883,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,2,592,7,4,59,3,1,1,2062,19384,3,14,3,2,80,0,11,3,3,2,1,2
STAFF-2038,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,4,529,2,4,78,3,1,1,2439,11288,1,14,3,4,80,0,4,3,4,2,1,2
STAFF-1475,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,3,1467,20,4,49,3,1,2,3420,21158,1,13,3,3,80,0,6,2,5,2,1,3
STAFF-1860,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,3,1142,8,4,81,3,1,3,3968,13624,4,13,3,4,80,0,8,3,0,0,0,0
STAFF-2007,No,Current Employees,Under 25,R&D,Research Scientist,Travel_Rarely,No,2,581,1,4,63,3,1,3,3375,17624,0,12,3,4,80,0,4,4,3,2,1,2
STAFF-1982,No,Current Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,6,571,12,4,78,3,1,4,2647,13672,1,13,3,3,80,0,5,4,5,2,1,4
STAFF-1472,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,No,2,447,2,4,39,4,4,2,16598,19764,4,12,3,2,80,0,35,2,9,8,8,8
STAFF-1453,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,5,326,8,1,31,3,3,4,10793,8386,1,18,3,1,80,1,13,3,13,7,9,9
STAFF-1754,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,2,979,15,3,94,2,3,1,7140,3088,2,11,3,1,80,1,12,3,7,7,1,7
STAFF-2037,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,5,930,3,3,57,2,2,2,8938,12227,2,11,3,3,80,1,14,3,5,4,0,4
STAFF-1951,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,2,1239,13,4,39,3,3,3,8628,22914,1,18,3,3,80,1,9,2,8,7,1,1
STAFF-1497,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,3,1246,19,3,77,2,2,3,8620,23757,1,14,3,3,80,2,10,3,10,7,0,4
STAFF-1670,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,5,392,2,4,93,3,2,4,5505,3921,1,14,3,3,80,2,6,3,6,2,0,4
STAFF-1466,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,No,3,1221,7,3,96,3,2,1,5486,24795,4,11,3,1,80,3,15,3,2,2,2,2
STAFF-1548,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,5,1342,9,1,47,3,2,1,5473,19345,0,12,3,4,80,0,9,4,8,4,7,1
STAFF-1560,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,6,1242,8,1,46,3,2,1,6392,10589,2,13,3,4,80,1,8,1,2,2,2,2
STAFF-1996,No,Current Employees,25 - 34,Sales,Sales Representative,Travel_Rarely,No,1,1154,2,1,54,3,1,3,3067,6393,0,19,3,3,80,1,3,3,2,2,1,2
STAFF-1749,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,3,1003,5,1,51,3,2,3,8346,20943,1,19,3,3,80,1,6,3,5,2,0,2
STAFF-2013,No,Current Employees,25 - 34,Sales,Sales Representative,Travel_Rarely,No,2,234,1,2,68,2,1,2,2269,18024,0,14,3,2,80,1,3,3,2,2,2,2
STAFF-1945,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,2,682,18,2,71,3,2,1,5561,15975,0,16,3,4,80,1,6,1,5,3,0,4
STAFF-1568,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,3,1288,29,3,33,3,3,2,9250,17799,3,12,3,2,80,1,9,3,4,2,1,3
STAFF-1582,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,3,1245,14,3,80,3,2,2,9924,12355,0,11,3,4,80,1,10,3,9,8,7,7
STAFF-1739,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,2,371,19,4,80,1,3,3,9610,3840,3,13,3,3,80,1,10,1,4,3,0,2
STAFF-1492,No,Current Employees,35 - 44,Sales,Sales Representative,Travel_Rarely,No,3,660,7,4,76,3,1,3,2404,16192,1,13,3,1,80,1,1,3,1,0,0,0
STAFF-1446,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,3,601,7,4,97,3,2,4,9204,23343,4,12,3,3,80,1,7,2,4,3,0,3
STAFF-1588,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,3,1462,6,4,38,4,3,3,8237,4658,2,11,3,1,80,1,11,3,7,6,7,6
STAFF-1787,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,2,589,9,2,46,2,2,2,4189,8800,1,14,3,1,80,2,5,3,5,2,0,3
STAFF-1908,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,1,335,17,3,33,2,2,2,5507,16822,2,16,3,3,80,2,12,1,4,2,1,3
STAFF-1995,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,3,1321,1,4,86,3,2,2,4440,7636,0,15,3,1,80,2,16,3,15,13,5,8
STAFF-1479,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,2,1358,16,4,96,3,2,3,5301,2939,8,15,3,3,80,2,4,2,2,1,2,2
STAFF-1961,No,Current Employees,35 - 44,Sales,Sales Representative,Travel_Rarely,No,3,1404,1,1,59,2,1,1,2858,11473,4,14,3,1,80,0,20,2,1,0,0,0
STAFF-1975,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,3,119,15,2,77,3,4,1,13341,25098,0,12,3,1,80,0,21,3,20,8,11,10
STAFF-1740,No,Current Employees,35 - 44,Sales,Manager,Travel_Rarely,No,3,611,7,2,88,3,5,2,19833,4349,1,14,3,2,80,0,21,2,21,8,12,8
STAFF-1924,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,2,217,10,2,43,3,2,3,5487,10410,1,14,3,2,80,0,10,2,10,4,0,9
STAFF-1650,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,2,469,10,3,42,2,2,3,5869,23413,9,11,3,3,80,0,8,3,5,2,1,4
STAFF-1836,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,4,572,10,3,46,3,2,4,4684,9125,1,13,3,1,80,0,5,3,5,3,1,2
STAFF-1478,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,2,1326,3,4,81,1,2,1,4759,15891,3,18,3,4,80,0,15,3,13,9,3,12
